trial,K,dash_p99,redis_p99,dash_faster
0,3,4.232273,5.849723,True
0,6,4.282147,5.824421,True
0,9,4.348566999999999,5.962356999999999,True
0,15,3.9975229999999997,5.299509999999998,True
0,30,5.6541929999999985,7.125781999999998,True
0,50,4.260608999999999,5.747164999999999,True
1,3,4.353747,6.599233999999997,True
1,6,4.18073,5.565683,True
1,9,4.490239999999998,6.178643,True
1,15,4.171468,5.508029,True
1,30,4.2441390000000006,5.29597,True
1,50,4.436707999999999,5.559283,True
2,3,4.575481,6.21844,True
2,6,4.287111,5.995176999999999,True
2,9,4.137879,5.767257999999999,True
2,15,4.659814,6.427707,True
2,30,4.279972,5.403004,True
2,50,4.402384,5.875672,True
3,3,4.647955,6.132211999999998,True
3,6,4.135692,5.370852999999999,True
3,9,5.474518999999999,6.795766999999999,True
3,15,4.617888,6.371937,True
3,30,4.12146,5.849909,True
3,50,4.397092999999997,5.941688999999999,True
4,3,4.737955,6.099242,True
4,6,4.029197,5.391006,True
4,9,4.678679999999999,6.5758719999999995,True
4,15,4.233717,5.60424,True
4,30,4.476240999999999,5.752813,True
4,50,4.684479,5.715285999999998,True
