trial,k,dash_p99,redis_p99,dash_faster
0,1,4.051511,5.4638599999999995,True
0,5,3.878215,4.913431,True
0,10,4.2450470000000005,5.493125,True
0,20,3.8932390000000003,5.307679,True
0,50,4.283108,5.345714,True
1,1,4.452333999999999,6.056139,True
1,5,3.597518,5.179159,True
1,10,3.645037,6.190035,True
1,20,3.8656420000000002,5.218553,True
1,50,4.4193,5.253998999999999,True
2,1,3.9181969999999997,6.091791000000001,True
2,5,4.257244,4.842434999999999,True
2,10,3.898425,5.798298999999999,True
2,20,3.6637809999999997,4.998717999999999,True
2,50,4.1628289999999994,7.0254769999999995,True
3,1,4.781857,6.077457,True
3,5,4.22087,5.208212,True
3,10,4.419381,5.680348999999999,True
3,20,4.872433,5.604178,True
3,50,5.657118999999999,7.757022,True
4,1,5.403395,6.419997,True
4,5,4.519422,6.178491,True
4,10,5.2036719999999965,6.684489,True
4,20,4.75119,5.951573999999999,True
4,50,3.749443,6.4344269999999995,True
