model,run_id,tag,alpha,lookback_w,tau,horizon_h,lambda,k,n_warmup,n_measure,offset_stride,A_ops_per_sec,B1_ops_per_sec,B2_ops_per_sec,A_gate_hit_rate,B1_gate_hit_rate,B2_gate_hit_rate
XGBoost,XGBoost_H30_a2_L94_W30_tau0.6731,H30_a2_L94,2.0,30,0.6731,30,0.94,1,200,2000,50,144.8392797812881,119.71463908786728,275.88155571759523,0.0025,0.0025,0.0025
XGBoost,XGBoost_H30_a2_L94_W30_tau0.6731,H30_a2_L94,2.0,30,0.6731,30,0.94,5,200,2000,50,174.49923344243385,118.43145332861502,234.1101098974523,0.0,0.0,0.0
XGBoost,XGBoost_H30_a2_L94_W30_tau0.6731,H30_a2_L94,2.0,30,0.6731,30,0.94,10,200,2000,50,172.2574664824636,128.38203288592058,315.81550020563833,0.0005,0.0005,0.0005
XGBoost,XGBoost_H30_a2_L94_W30_tau0.6731,H30_a2_L94,2.0,30,0.6731,30,0.94,20,200,2000,50,196.16734903164928,151.90147378752442,367.71355819888083,0.003,0.003,0.003
XGBoost,XGBoost_H30_a2_L94_W30_tau0.6731,H30_a2_L94,2.0,30,0.6731,30,0.94,50,200,2000,50,196.2210436729367,159.22471955495405,358.003279668241,0.0045,0.0045,0.0045
RandomForest,RandomForest_H30_a2_L94_W30_tau0.6731,H30_a2_L94,2.0,30,0.6731,30,0.94,1,200,2000,50,145.13956620683422,113.53556663123845,218.76858336581472,0.0,0.0,0.0
RandomForest,RandomForest_H30_a2_L94_W30_tau0.6731,H30_a2_L94,2.0,30,0.6731,30,0.94,5,200,2000,50,141.78245614519693,101.74969073445433,183.27897691218922,0.0,0.0,0.0
RandomForest,RandomForest_H30_a2_L94_W30_tau0.6731,H30_a2_L94,2.0,30,0.6731,30,0.94,10,200,2000,50,119.63851509783505,102.3578970688936,218.0894513512242,0.0,0.0,0.0
RandomForest,RandomForest_H30_a2_L94_W30_tau0.6731,H30_a2_L94,2.0,30,0.6731,30,0.94,20,200,2000,50,146.79540457271722,112.71994218054225,226.60747211122217,0.0,0.0,0.0
RandomForest,RandomForest_H30_a2_L94_W30_tau0.6731,H30_a2_L94,2.0,30,0.6731,30,0.94,50,200,2000,50,162.84227645032945,127.42758955883198,260.8237895079519,0.0,0.0,0.0
Logistic,Logistic_H30_a2_L94_W30_tau0.6731,H30_a2_L94,2.0,30,0.6731,30,0.94,1,200,2000,50,305.0376401959082,205.99716455173936,834.7018269854536,0.0,0.0,0.0
Logistic,Logistic_H30_a2_L94_W30_tau0.6731,H30_a2_L94,2.0,30,0.6731,30,0.94,5,200,2000,50,301.77265634094664,196.56602882364552,670.5341287124397,0.0,0.0,0.0
Logistic,Logistic_H30_a2_L94_W30_tau0.6731,H30_a2_L94,2.0,30,0.6731,30,0.94,10,200,2000,50,314.23618437785046,164.3420862035322,966.161357839604,0.0,0.0,0.0
Logistic,Logistic_H30_a2_L94_W30_tau0.6731,H30_a2_L94,2.0,30,0.6731,30,0.94,20,200,2000,50,307.955695092327,200.66286771040546,1016.4315821361158,0.0,0.0,0.0
Logistic,Logistic_H30_a2_L94_W30_tau0.6731,H30_a2_L94,2.0,30,0.6731,30,0.94,50,200,2000,50,268.9030111074118,186.1527658952148,923.8365156699405,0.0,0.0,0.0
