trial,seed,k,p50,p99
0,100,5,2.1704999999999997,4.341507
0,100,10,3.08375,4.6465119999999995
0,100,20,2.4294000000000002,3.7652509999999997
1,117,5,2.55675,4.228408
1,117,10,2.4086499999999997,4.2374480000000005
1,117,20,2.3344,4.028128000000001
2,134,5,2.6251499999999997,4.066813
2,134,10,2.5763,3.958606
2,134,20,2.5359499999999997,3.842014
3,151,5,2.2994,3.7143759999999997
3,151,10,2.4438,4.177028999999999
3,151,20,3.20485,4.186352
4,168,5,2.8801,4.245636999999999
4,168,10,2.3943,3.812062
4,168,20,2.5016,4.372242
